gain,gain_pct,feature
4302292.5,2.392569608686245,num_cols__mold_len
1354439.375,0.7532241207293536,num_cols__mold_hi
1058497.375,0.5886463206067852,num_cols__mold_wid
97424968.0,54.17949094907656,num_cols__square
5232957.5,2.910126421680244,num_cols__square_1
57.68246078491211,3.2078084562641164e-05,num_cols__square_2
24419882.0,13.580263899050166,num_cols__S
45367068.0,25.229309288478706,num_cols__Power
658731.5,0.366330501048988,num_cols__sum_of_tariff
12.25026798248291,6.8125583914042975e-06,num_cols__square_3
