rank,feature,importance
1,num_cols__sum_of_tariff,52
2,num_cols__mold_len,47
3,num_cols__mold_wid,32
4,num_cols__square_2,29
5,num_cols__mold_hi,26
6,num_cols__square,20
7,num_cols__square_1,11
8,num_cols__square_3,4
9,num_cols__square_4,0
10,num_cols__Power,0
11,num_cols__S,0
