iter	RMSE
0	10892.19243
1	10386.12231
2	9924.214158
3	9575.751226
4	9226.073443
5	8872.064156
6	8534.174724
7	8211.993239
8	7943.958937
9	7660.682304
10	7364.610204
11	7089.399028
12	6846.38536
13	6637.303139
14	6456.842367
15	6304.127143
16	6118.012366
17	5938.444308
18	5780.220965
19	5639.897765
20	5496.169724
21	5380.111109
22	5254.197922
23	5140.121507
24	5035.602278
25	4947.141968
26	4861.563626
27	4776.109331
28	4690.634916
29	4598.120524
30	4514.550901
31	4437.044598
32	4353.961572
33	4265.078514
34	4200.846895
35	4133.479908
36	4070.352981
37	4012.628857
38	3936.363859
39	3858.651214
40	3799.852313
41	3728.524472
42	3680.507815
43	3610.857598
44	3562.937846
45	3487.446969
46	3396.181553
47	3352.371992
48	3311.73122
49	3249.173555
50	3208.928598
51	3167.678387
52	3111.27694
53	3063.795354
54	3022.11761
55	2967.620643
56	2933.827587
57	2884.657092
58	2844.149982
59	2803.780393
60	2756.912998
61	2653.371843
62	2617.513789
63	2539.984319
64	2466.606195
65	2430.832742
66	2378.207125
67	2328.844104
68	2301.680598
69	2276.130853
70	2236.218765
71	2191.255201
72	2167.373619
73	2125.49
74	2095.844666
75	2058.330901
76	2029.228963
77	1989.719714
78	1962.169164
79	1935.475142
80	1910.864497
81	1874.270371
82	1849.176824
83	1801.882368
84	1783.188025
85	1753.004094
86	1721.287474
87	1689.181743
88	1663.119636
89	1620.856478
90	1588.466275
91	1549.362134
92	1521.288905
93	1494.390197
94	1446.799666
95	1421.931715
96	1396.716248
97	1369.738097
98	1350.19434
99	1324.98411
100	1288.710668
101	1265.153383
102	1242.905838
103	1212.52722
104	1191.744013
105	1172.132745
106	1141.023683
107	1122.684055
108	1105.389849
109	1085.686219
110	1059.004507
111	1026.791258
112	1012.980368
113	997.4873702
114	984.774195
115	969.7487545
116	955.4850233
117	944.0585999
118	926.8984547
119	913.01433
120	899.4838636
121	889.7642671
122	878.7079471
123	863.1151659
124	854.2239695
125	840.5206684
126	830.646876
127	822.3787011
128	806.1083408
129	796.9020971
130	790.5431333
131	782.9950435
132	774.6090106
133	768.5877821
134	762.1934986
135	747.4376792
136	737.912695
137	731.9435113
138	723.3720589
139	717.528323
140	711.8896489
141	706.4615538
142	701.2369671
143	693.8849679
144	684.9126399
145	672.0239874
146	665.7330645
147	654.3509604
148	635.6613957
149	625.1493533
150	617.0926008
151	603.0303737
152	599.0295465
153	591.3655091
154	584.0689622
155	570.9880273
156	567.213857
157	551.833819
158	548.3589476
159	541.450518
160	526.3417902
161	523.0183816
162	509.4537975
163	505.426164
164	499.0105724
165	486.4846609
166	483.5748269
167	477.6567043
168	465.8961249
169	461.6995526
170	454.2858601
171	448.4784742
172	446.0731772
173	440.5091566
174	438.1848856
175	435.9507966
176	427.7691633
177	425.3698619
178	418.4600207
179	416.4030953
180	414.4266849
181	409.5683294
182	407.6540824
183	400.1883196
184	396.3840282
185	390.1943874
186	388.0854619
187	386.0708407
188	382.4152708
189	374.5690942
190	370.8856693
191	369.2024398
192	365.649835
193	359.0620897
194	355.703647
195	351.2391827
196	348.5681646
197	345.4864395
198	343.0309827
199	340.0822009
200	335.7691601
201	329.0319104
202	326.2774106
203	324.8387921
204	322.204737
205	316.3058722
206	314.1267198
207	310.3593521
208	307.1672315
209	303.7017381
210	298.2633626
211	296.2894146
212	293.3884994
213	291.1593044
214	288.0841772
215	282.9854227
216	281.6589794
217	280.3845622
218	278.3970839
219	277.1800583
220	272.3190926
221	271.1095147
222	269.2494978
223	265.2049836
224	263.4292003
225	259.6452314
226	257.9492234
227	256.7966234
228	252.9737252
229	251.15018
230	246.6140151
231	243.5412534
232	238.4823046
233	235.6815184
234	229.9902184
235	228.7594743
236	226.7511318
237	225.5672708
238	220.3475735
239	218.9267303
240	217.5796759
241	216.0380665
242	215.0651879
243	212.6500782
244	208.8798357
245	206.4545862
246	202.0017164
247	200.7193824
248	198.8368057
249	197.6430914
250	194.020029
251	192.261741
252	191.1466784
253	189.7963216
254	187.990515
255	185.0091056
256	183.7668449
257	180.9184685
258	179.2451789
259	176.5213882
260	174.9425196
261	173.2638304
262	171.6502314
263	169.8623721
264	168.7607319
265	165.088657
266	163.4364251
267	161.8277056
268	160.9658245
269	159.412242
270	158.3834758
271	156.1341842
272	154.6658448
273	153.2541972
274	150.4024321
275	149.6597098
276	148.9579802
277	148.2946735
278	147.6126708
279	143.985475
280	142.643881
281	142.0332747
282	141.095041
283	139.806455
284	139.2214787
285	138.0061477
286	135.4773496
287	134.7001528
288	133.9629331
289	133.3909538
290	132.0648084
291	131.2162139
292	130.6735505
293	129.6245511
294	128.1547793
295	127.1469463
296	126.1766393
297	125.3047368
298	124.3641872
299	123.5191632
300	122.6066828
301	121.6941005
302	120.3787337
303	117.702195
304	116.8320296
305	115.5980636
306	114.7611583
307	114.2151281
308	113.732039
309	112.9278052
310	112.1520371
311	111.4056857
312	110.8936301
313	110.4383523
314	109.6552975
315	108.9244361
316	106.8747067
317	106.0441301
318	104.135719
319	103.59854
320	101.355076
321	100.8424896
322	100.356503
323	99.74375256
324	99.26199599
325	97.37416004
326	96.91657003
327	96.20095089
328	95.79518926
329	95.3117186
330	94.64037802
331	94.17260268
332	93.60862554
333	92.92633742
334	92.53442613
335	92.16285498
336	91.61902666
337	90.76938586
338	90.40829277
339	89.78693074
340	89.44270867
341	87.79784095
342	86.24920423
343	84.8018555
344	84.49107114
345	83.20828764
346	82.90555593
347	82.61600414
348	81.4076737
349	81.0407149
350	80.68969282
351	80.33567196
352	79.20189458
353	78.92637932
354	78.6619229
355	78.31765945
356	77.03431261
357	76.78817294
358	75.59043251
359	74.4696643
360	74.23251614
361	74.00570168
362	72.87324782
363	72.53063394
364	71.13315134
365	70.8021689
366	70.48423794
367	70.25620025
368	69.94983153
369	68.45248687
370	68.23583518
371	68.02766401
372	67.02653577
373	65.89840555
374	65.62035019
375	64.47101536
376	64.18500967
377	63.9065921
378	63.63068107
379	63.01866794
380	61.94764796
381	61.67803377
382	61.41912246
383	60.83649209
384	59.84293419
385	59.58999228
386	59.3323515
387	59.08838021
388	58.54270965
389	58.30629844
390	57.37827552
391	56.61155141
392	56.3768469
393	56.05549344
394	55.82768567
395	55.6082074
396	55.12263589
397	54.6346508
398	54.02180635
399	53.65156156
400	53.42814321
401	52.82111825
402	52.51949569
403	51.75348525
404	51.19457629
405	50.99106696
406	50.53771161
407	50.12347547
408	49.0759155
409	48.33687925
410	48.13729375
411	47.94570367
412	47.74062623
413	47.47735492
414	46.9730191
415	46.02953036
416	45.68929031
417	45.50858957
418	45.26361266
419	44.84410661
420	44.38903176
421	44.02704853
422	43.63479531
423	42.80031718
424	42.43374548
425	42.18824837
426	41.78229861
427	41.61153878
428	41.16345046
429	40.62146035
430	40.46050617
431	40.30612803
432	40.07708882
433	39.74534211
434	39.01170673
435	38.77809177
436	38.62747974
437	38.40612884
438	38.2645727
439	38.12882034
440	37.80246752
441	37.65989351
442	37.45574299
443	37.232877
444	37.05656739
445	36.50929759
446	36.02702723
447	35.81964653
448	35.62023781
449	35.49398754
450	35.37290937
451	35.17989977
452	34.92314533
453	34.75911939
454	34.34484683
455	34.22676791
456	33.63685524
457	33.39075108
458	33.15941517
459	33.04248473
460	32.76770345
461	32.58397197
462	32.47284711
463	32.0598491
464	31.91119937
465	31.68981456
466	31.42933935
467	31.25917071
468	31.03459708
469	30.68143291
470	30.58109954
471	30.37155415
472	30.27465014
473	29.87261266
474	29.65544725
475	29.31484391
476	29.21874873
477	28.82481822
478	28.62798367
479	28.53489018
480	28.27559632
481	28.1854272
482	27.93660636
483	27.41778471
484	27.01905292
485	26.9245571
486	26.83479654
487	26.74952687
488	26.52145201
489	26.30273767
490	26.22151237
491	26.01990427
492	25.700115
493	25.62462719
494	25.51241845
495	25.2086597
496	25.04195335
497	24.71221745
498	24.63443937
499	24.34979793
500	24.24265144
501	23.81459869
502	23.61209999
503	23.41764883
504	23.3481463
505	23.16081232
506	23.01714931
507	22.64875357
508	22.55190245
509	22.48443078
510	22.41338171
511	22.29081407
512	22.22298855
513	22.10479983
514	21.81379627
515	21.65416349
516	21.50076791
517	21.22739107
518	21.08016262
519	20.85562517
520	20.68238665
521	20.46874898
522	20.30065685
523	20.15302085
524	19.90432388
525	19.55885381
526	19.43993031
527	19.36760632
528	19.16152186
529	19.09141625
530	18.95613948
531	18.80481032
532	18.56452072
533	18.25531714
534	18.11223268
535	17.88514712
536	17.74254825
537	17.619439
538	17.48486463
539	17.26997015
540	17.1524607
541	16.95087423
542	16.82344736
543	16.54739811
544	16.42719374
545	16.23370096
546	16.13245289
547	15.96832297
548	15.78462134
549	15.68665073
550	15.51310892
551	15.30893356
552	15.13739027
553	14.94688875
554	14.88684765
555	14.68634282
556	14.52318414
557	14.42921992
558	14.26993367
559	14.17935404
560	14.02847359
561	13.89710812
562	13.73148284
563	13.62962154
564	13.4834833
565	13.3844091
566	13.33043824
567	13.20802532
568	13.09221582
569	12.89743654
570	12.8477316
571	12.68615861
572	12.63778447
573	12.53342391
574	12.42530117
575	12.38086815
576	12.17675549
577	12.13356624
578	12.03895244
579	11.94810654
580	11.81439275
581	11.70264539
582	11.57332355
583	11.48119655
584	11.33580089
585	11.29577014
586	11.20040031
587	11.15257348
588	11.07594502
589	11.01662247
590	10.9550413
591	10.91732109
592	10.85990521
593	10.75104796
594	10.69538593
595	10.65849593
596	10.6049068
597	10.53110379
598	10.49032665
599	10.30077619
600	10.21581076
601	10.16503017
602	10.01548739
603	9.959045493
604	9.910373569
605	9.855865111
606	9.821041359
607	9.783273257
608	9.736993235
609	9.633840449
610	9.506586839
611	9.472636476
612	9.421746373
613	9.389755753
614	9.346119188
615	9.278468374
616	9.244326179
617	9.20294285
618	9.125769455
619	8.99538195
620	8.963660047
621	8.931463511
622	8.88378866
623	8.790719186
624	8.727062986
625	8.696806834
626	8.625687231
627	8.587330593
628	8.44883243
629	8.411461008
630	8.381958873
631	8.273304568
632	8.237655864
633	8.207525285
634	8.179654779
635	8.122688807
636	8.088749551
637	8.05966845
638	8.033585819
639	7.970672044
640	7.938299412
641	7.83900518
642	7.778398527
643	7.669173453
644	7.629003792
645	7.60372823
646	7.573809371
647	7.549475592
648	7.489338704
649	7.396214965
650	7.337740358
651	7.300778121
652	7.179069753
653	7.155643834
654	7.132574051
655	7.104452438
656	7.014791543
657	6.992046638
658	6.970235184
659	6.875067941
660	6.817089625
661	6.749744496
662	6.728590547
663	6.641994365
664	6.545322094
665	6.523285206
666	6.491531192
667	6.470765357
668	6.445894093
669	6.36626913
670	6.252541536
671	6.232526749
672	6.208853873
673	6.122811981
674	6.102265348
675	5.98783986
676	5.903506336
677	5.883849599
678	5.864992322
679	5.846904171
680	5.78975239
681	5.71683315
682	5.699230591
683	5.653692783
684	5.634788735
685	5.616679204
686	5.572600689
687	5.555134162
688	5.534322164
689	5.517461322
690	5.442677206
691	5.370164508
692	5.354011279
693	5.302751197
694	5.209712721
695	5.193984343
696	5.139244056
697	5.123975388
698	5.109199528
699	5.018939592
700	5.003246073
701	4.953601815
702	4.904175531
703	4.88981557
704	4.804232468
705	4.756962478
706	4.743461704
707	4.728411834
708	4.651510403
709	4.6376995
710	4.625068302
711	4.55332635
712	4.516578085
713	4.504225374
714	4.492386903
715	4.456218164
716	4.411427907
717	4.399915587
718	4.385361082
719	4.325799364
720	4.311992637
721	4.268844389
722	4.255433919
723	4.217252296
724	4.155102499
725	4.141887595
726	4.10550161
727	4.095006283
728	4.054999877
729	4.04487351
730	4.035169982
731	3.973337761
732	3.963869102
733	3.90567263
734	3.861237846
735	3.79208347
736	3.782709114
737	3.769325359
738	3.735335685
739	3.67010578
740	3.661403669
741	3.648443913
742	3.618489735
743	3.605926668
744	3.561096324
745	3.51240556
746	3.482065831
747	3.43604926
748	3.413017058
749	3.350270627
750	3.337607165
751	3.32547825
752	3.269903849
753	3.243163268
754	3.231440756
755	3.203953456
756	3.147518936
757	3.136278414
758	3.111457018
759	3.06523506
760	3.054353758
761	3.021090514
762	3.010561395
763	2.972446456
764	2.962604567
