rank,feature,importance
1,num_cols__square,55
2,num_cols__mold_hi,43
3,num_cols__sum_of_tariff,36
4,num_cols__mold_wid,32
5,num_cols__S,17
6,num_cols__mold_len,13
7,num_cols__square_1,11
8,num_cols__Power,10
9,num_cols__square_3,2
10,num_cols__square_4,0
11,num_cols__square_2,0
